well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,combo
B3,SecYE-G,5,135,no_lipo,0,10,BL53
B4,Cat,5,85,DOPC,3,15,BL53
B5,SecYE-G,5,135,no_lipo,0,20,BL53
B6,B2AR,5,85,DOPC,3,10,BL53
B7,B2AR,5,135,no_lipo,0,10,BL53
B8,Blank,0,135,no_lipo,0,20,BL53
B9,AqpZ,5,85,DOPC,3,15,BL53
C1,B2AR,5,135,no_lipo,0,20,BL53
C10,Blank,0,85,DOPC,3,20,BL53
C11,Cat,5,135,no_lipo,0,15,BL53
C12,Cat,5,85,DOPC,3,20,BL53
C13,B2AR,5,135,no_lipo,0,20,WT48
C14,AqpZ,5,135,no_lipo,0,15,WT48
C15,SecYE-G,5,85,no_lipo,0,20,WT48
C16,SecYE-G,5,135,DOPC,3,10,WT48
C17,Cat,5,135,DOPC,3,20,WT48
C18,AqpZ,5,85,no_lipo,0,20,WT48
C19,Blank,0,135,no_lipo,0,15,WT48
C2,AqpZ,5,135,no_lipo,0,15,BL53
C20,AqpZ,5,135,DOPC,3,15,WT48
C21,SecYE-G,5,135,DOPC,3,15,WT48
C22,Blank,0,85,DOPC,3,20,WT48
C23,Cat,5,135,no_lipo,0,15,WT48
C24,Cat,5,85,DOPC,3,20,WT48
C3,SecYE-G,5,85,no_lipo,0,20,BL53
C4,SecYE-G,5,135,DOPC,3,10,BL53
C5,Cat,5,135,DOPC,3,20,BL53
C6,AqpZ,5,85,no_lipo,0,20,BL53
C7,Blank,0,135,no_lipo,0,15,BL53
C8,AqpZ,5,135,DOPC,3,15,BL53
C9,SecYE-G,5,135,DOPC,3,15,BL53
D1,SecYE-G,5,85,DOPC,3,15,BL53
D10,AqpZ,5,135,no_lipo,0,10,BL53
D11,Blank,0,85,DOPC,3,15,BL53
D12,AqpZ,5,135,DOPC,3,10,BL53
D13,SecYE-G,5,85,DOPC,3,15,WT48
D14,Blank,0,85,DOPC,3,20,WT48
D15,AqpZ,5,135,no_lipo,0,15,WT48
D16,Blank,0,85,DOPC,3,10,WT48
D17,Blank,0,135,no_lipo,0,10,WT48
D18,Blank,0,135,DOPC,3,15,WT48
D19,Cat,5,135,DOPC,3,15,WT48
D2,Blank,0,85,DOPC,3,20,BL53
D20,SecYE-G,5,135,DOPC,3,15,WT48
D21,B2AR,5,135,DOPC,3,20,WT48
D22,AqpZ,5,135,no_lipo,0,10,WT48
D23,Blank,0,85,DOPC,3,15,WT48
D24,AqpZ,5,135,DOPC,3,10,WT48
D3,AqpZ,5,135,no_lipo,0,15,BL53
D4,Blank,0,85,DOPC,3,10,BL53
D5,Blank,0,135,no_lipo,0,10,BL53
D6,Blank,0,135,DOPC,3,15,BL53
D7,Cat,5,135,DOPC,3,15,BL53
D8,SecYE-G,5,135,DOPC,3,15,BL53
D9,B2AR,5,135,DOPC,3,20,BL53
E1,Cat,5,85,no_lipo,0,10,BL53
E10,Blank,0,85,no_lipo,0,20,BL53
E11,AqpZ,5,85,DOPC,3,15,BL53
E13,Cat,5,85,no_lipo,0,10,WT48
E14,Cat,5,85,no_lipo,0,15,WT48
E15,AqpZ,5,85,no_lipo,0,20,WT48
E16,B2AR,5,135,no_lipo,0,15,WT48
E17,Cat,5,135,no_lipo,0,15,WT48
E18,SecYE-G,5,85,no_lipo,0,15,WT48
E19,SecYE-G,5,135,no_lipo,0,15,WT48
E2,Cat,5,85,no_lipo,0,15,BL53
E20,Cat,5,85,no_lipo,0,10,WT48
E21,Cat,5,135,DOPC,3,15,WT48
E22,Blank,0,85,no_lipo,0,20,WT48
E23,AqpZ,5,85,DOPC,3,15,WT48
E3,AqpZ,5,85,no_lipo,0,20,BL53
E4,B2AR,5,135,no_lipo,0,15,BL53
E5,Cat,5,135,no_lipo,0,15,BL53
E6,SecYE-G,5,85,no_lipo,0,15,BL53
E7,SecYE-G,5,135,no_lipo,0,15,BL53
E8,Cat,5,85,no_lipo,0,10,BL53
E9,Cat,5,135,DOPC,3,15,BL53
F1,Blank,0,85,no_lipo,0,10,BL53
F10,Blank,0,135,no_lipo,0,20,BL53
F11,Cat,5,135,no_lipo,0,15,BL53
F13,Blank,0,85,no_lipo,0,10,WT48
F14,AqpZ,5,85,no_lipo,0,15,WT48
F15,B2AR,5,85,DOPC,3,10,WT48
F16,SecYE-G,5,85,DOPC,3,20,WT48
F17,Cat,5,85,DOPC,3,10,WT48
F18,AqpZ,5,85,DOPC,3,20,WT48
F19,SecYE-G,5,135,no_lipo,0,15,WT48
F2,AqpZ,5,85,no_lipo,0,15,BL53
F20,B2AR,5,85,no_lipo,0,20,WT48
F21,SecYE-G,5,85,no_lipo,0,10,WT48
F22,Blank,0,135,no_lipo,0,20,WT48
F23,Cat,5,135,no_lipo,0,15,WT48
F3,B2AR,5,85,DOPC,3,10,BL53
F4,SecYE-G,5,85,DOPC,3,20,BL53
F5,Cat,5,85,DOPC,3,10,BL53
F6,AqpZ,5,85,DOPC,3,20,BL53
F7,SecYE-G,5,135,no_lipo,0,15,BL53
F8,B2AR,5,85,no_lipo,0,20,BL53
F9,SecYE-G,5,85,no_lipo,0,10,BL53
G1,B2AR,5,85,no_lipo,0,10,BL53
G10,Cat,5,135,DOPC,3,10,BL53
G11,SecYE-G,5,85,no_lipo,0,20,BL53
G13,B2AR,5,85,no_lipo,0,10,WT48
G14,SecYE-G,5,85,DOPC,3,10,WT48
G15,SecYE-G,5,135,no_lipo,0,20,WT48
G16,SecYE-G,5,85,no_lipo,0,10,WT48
G17,SecYE-G,5,135,DOPC,3,10,WT48
G18,AqpZ,5,85,DOPC,3,10,WT48
G19,SecYE-G,5,135,DOPC,3,20,WT48
G2,SecYE-G,5,85,DOPC,3,10,BL53
G20,Cat,5,135,DOPC,3,20,WT48
G21,SecYE-G,5,135,no_lipo,0,10,WT48
G22,Cat,5,135,DOPC,3,10,WT48
G23,SecYE-G,5,85,no_lipo,0,20,WT48
G3,SecYE-G,5,135,no_lipo,0,20,BL53
G4,SecYE-G,5,85,no_lipo,0,10,BL53
G5,SecYE-G,5,135,DOPC,3,10,BL53
G6,AqpZ,5,85,DOPC,3,10,BL53
G7,SecYE-G,5,135,DOPC,3,20,BL53
G8,Cat,5,135,DOPC,3,20,BL53
G9,SecYE-G,5,135,no_lipo,0,10,BL53
H1,AqpZ,5,135,DOPC,3,15,BL53
H10,Cat,5,135,no_lipo,0,10,BL53
H11,B2AR,5,85,DOPC,3,15,BL53
H13,AqpZ,5,135,DOPC,3,15,WT48
H14,B2AR,5,135,DOPC,3,15,WT48
H15,B2AR,5,135,DOPC,3,15,WT48
H16,Cat,5,85,no_lipo,0,20,WT48
H17,Blank,0,135,no_lipo,0,15,WT48
H18,AqpZ,5,135,DOPC,3,20,WT48
H19,AqpZ,5,85,no_lipo,0,10,WT48
H2,B2AR,5,135,DOPC,3,15,BL53
H20,Cat,5,85,DOPC,3,15,WT48
H21,Blank,0,85,no_lipo,0,20,WT48
H22,Cat,5,135,no_lipo,0,10,WT48
H23,B2AR,5,85,DOPC,3,15,WT48
H3,B2AR,5,135,DOPC,3,15,BL53
H4,Cat,5,85,no_lipo,0,20,BL53
H5,Blank,0,135,no_lipo,0,15,BL53
H6,AqpZ,5,135,DOPC,3,20,BL53
H7,AqpZ,5,85,no_lipo,0,10,BL53
H8,Cat,5,85,DOPC,3,15,BL53
H9,Blank,0,85,no_lipo,0,20,BL53
I1,Cat,5,135,no_lipo,0,10,BL53
I10,AqpZ,5,85,no_lipo,0,15,BL53
I11,AqpZ,5,85,no_lipo,0,10,BL53
I13,Cat,5,135,no_lipo,0,10,WT48
I14,B2AR,5,85,DOPC,3,15,WT48
I15,B2AR,5,85,no_lipo,0,15,WT48
I16,SecYE-G,5,85,DOPC,3,15,WT48
I17,B2AR,5,85,DOPC,3,20,WT48
I18,Cat,5,85,no_lipo,0,15,WT48
I19,AqpZ,5,135,DOPC,3,20,WT48
I2,B2AR,5,85,DOPC,3,15,BL53
I20,Cat,5,135,DOPC,3,20,WT48
I21,Blank,0,135,DOPC,3,15,WT48
I22,AqpZ,5,85,no_lipo,0,15,WT48
I23,AqpZ,5,85,no_lipo,0,10,WT48
I3,B2AR,5,85,no_lipo,0,15,BL53
I4,SecYE-G,5,85,DOPC,3,15,BL53
I5,B2AR,5,85,DOPC,3,20,BL53
I6,Cat,5,85,no_lipo,0,15,BL53
I7,AqpZ,5,135,DOPC,3,20,BL53
I8,Cat,5,135,DOPC,3,20,BL53
I9,Blank,0,135,DOPC,3,15,BL53
J1,Cat,5,85,no_lipo,0,15,BL53
J10,Blank,0,85,DOPC,3,20,BL53
J11,Blank,0,85,no_lipo,0,15,BL53
J13,Cat,5,85,no_lipo,0,15,WT48
J14,B2AR,5,135,DOPC,3,10,WT48
J15,AqpZ,5,85,no_lipo,0,10,WT48
J16,AqpZ,5,135,DOPC,3,20,WT48
J17,AqpZ,5,135,no_lipo,0,20,WT48
J18,SecYE-G,5,85,no_lipo,0,10,WT48
J19,AqpZ,5,135,DOPC,3,15,WT48
J2,B2AR,5,135,DOPC,3,10,BL53
J20,AqpZ,5,85,DOPC,3,15,WT48
J21,SecYE-G,5,135,DOPC,3,10,WT48
J22,Blank,0,85,DOPC,3,20,WT48
J23,Blank,0,85,no_lipo,0,15,WT48
J3,AqpZ,5,85,no_lipo,0,10,BL53
J4,AqpZ,5,135,DOPC,3,20,BL53
J5,AqpZ,5,135,no_lipo,0,20,BL53
J6,SecYE-G,5,85,no_lipo,0,10,BL53
J7,AqpZ,5,135,DOPC,3,15,BL53
J8,AqpZ,5,85,DOPC,3,15,BL53
J9,SecYE-G,5,135,DOPC,3,10,BL53
K1,B2AR,5,85,no_lipo,0,15,BL53
K10,SecYE-G,5,135,DOPC,3,20,BL53
K11,AqpZ,5,135,no_lipo,0,20,BL53
K13,B2AR,5,85,no_lipo,0,15,WT48
K14,Blank,0,135,DOPC,3,20,WT48
K15,B2AR,5,135,DOPC,3,15,WT48
K16,B2AR,5,135,no_lipo,0,10,WT48
K17,Blank,0,135,no_lipo,0,20,WT48
K18,B2AR,5,85,no_lipo,0,15,WT48
K19,Blank,0,135,DOPC,3,15,WT48
K2,Blank,0,135,DOPC,3,20,BL53
K20,AqpZ,5,85,DOPC,3,20,WT48
K21,Blank,0,135,DOPC,3,10,WT48
K22,SecYE-G,5,135,DOPC,3,20,WT48
K23,AqpZ,5,135,no_lipo,0,20,WT48
K3,B2AR,5,135,DOPC,3,15,BL53
K4,B2AR,5,135,no_lipo,0,10,BL53
K5,Blank,0,135,no_lipo,0,20,BL53
K6,B2AR,5,85,no_lipo,0,15,BL53
K7,Blank,0,135,DOPC,3,15,BL53
K8,AqpZ,5,85,DOPC,3,20,BL53
K9,Blank,0,135,DOPC,3,10,BL53
L1,AqpZ,5,135,no_lipo,0,20,BL53
L10,SecYE-G,5,85,no_lipo,0,15,BL53
L11,SecYE-G,5,135,no_lipo,0,15,BL53
L13,AqpZ,5,135,no_lipo,0,20,WT48
L14,Blank,0,85,no_lipo,0,15,WT48
L15,Cat,5,135,no_lipo,0,20,WT48
L16,SecYE-G,5,135,DOPC,3,15,WT48
L17,B2AR,5,85,no_lipo,0,10,WT48
L18,SecYE-G,5,85,no_lipo,0,15,WT48
L19,Blank,0,85,no_lipo,0,15,WT48
L2,Blank,0,85,no_lipo,0,15,BL53
L20,B2AR,5,135,no_lipo,0,20,WT48
L21,AqpZ,5,135,no_lipo,0,10,WT48
L22,SecYE-G,5,85,no_lipo,0,15,WT48
L23,SecYE-G,5,135,no_lipo,0,15,WT48
L3,Cat,5,135,no_lipo,0,20,BL53
L4,SecYE-G,5,135,DOPC,3,15,BL53
L5,B2AR,5,85,no_lipo,0,10,BL53
L6,SecYE-G,5,85,no_lipo,0,15,BL53
L7,Blank,0,85,no_lipo,0,15,BL53
L8,B2AR,5,135,no_lipo,0,20,BL53
L9,AqpZ,5,135,no_lipo,0,10,BL53
M1,Blank,0,135,no_lipo,0,10,BL53
M10,AqpZ,5,135,DOPC,3,10,BL53
M11,SecYE-G,5,85,DOPC,3,15,BL53
M13,Blank,0,135,no_lipo,0,10,WT48
M14,Blank,0,85,DOPC,3,15,WT48
M15,AqpZ,5,135,DOPC,3,10,WT48
M16,AqpZ,5,85,no_lipo,0,20,WT48
M17,AqpZ,5,85,no_lipo,0,15,WT48
M18,SecYE-G,5,85,DOPC,3,20,WT48
M19,AqpZ,5,135,no_lipo,0,10,WT48
M2,Blank,0,85,DOPC,3,15,BL53
M20,Cat,5,135,DOPC,3,15,WT48
M21,AqpZ,5,85,DOPC,3,10,WT48
M22,AqpZ,5,135,DOPC,3,10,WT48
M23,SecYE-G,5,85,DOPC,3,15,WT48
M3,AqpZ,5,135,DOPC,3,10,BL53
M4,AqpZ,5,85,no_lipo,0,20,BL53
M5,AqpZ,5,85,no_lipo,0,15,BL53
M6,SecYE-G,5,85,DOPC,3,20,BL53
M7,AqpZ,5,135,no_lipo,0,10,BL53
M8,Cat,5,135,DOPC,3,15,BL53
M9,AqpZ,5,85,DOPC,3,10,BL53
N1,B2AR,5,135,DOPC,3,20,BL53
N10,B2AR,5,85,no_lipo,0,20,BL53
N11,SecYE-G,5,85,DOPC,3,10,BL53
N13,B2AR,5,135,DOPC,3,20,WT48
N14,B2AR,5,135,no_lipo,0,20,WT48
N15,Blank,0,135,DOPC,3,10,WT48
N16,Blank,0,135,no_lipo,0,15,WT48
N17,B2AR,5,85,DOPC,3,20,WT48
N18,SecYE-G,5,85,no_lipo,0,20,WT48
N19,Cat,5,85,DOPC,3,15,WT48
N2,B2AR,5,135,no_lipo,0,20,BL53
N20,Blank,0,85,no_lipo,0,10,WT48
N21,B2AR,5,85,no_lipo,0,10,WT48
N22,B2AR,5,85,no_lipo,0,20,WT48
N23,SecYE-G,5,85,DOPC,3,10,WT48
N3,Blank,0,135,DOPC,3,10,BL53
N4,Blank,0,135,no_lipo,0,15,BL53
N5,B2AR,5,85,DOPC,3,20,BL53
N6,SecYE-G,5,85,no_lipo,0,20,BL53
N7,Cat,5,85,DOPC,3,15,BL53
N8,Blank,0,85,no_lipo,0,10,BL53
N9,B2AR,5,85,no_lipo,0,10,BL53
O1,B2AR,5,135,no_lipo,0,15,BL53
O10,Cat,5,85,no_lipo,0,20,BL53
O11,Cat,5,85,DOPC,3,10,BL53
O13,B2AR,5,135,no_lipo,0,15,WT48
O14,Cat,5,85,DOPC,3,10,WT48
O15,Blank,0,135,no_lipo,0,10,WT48
O16,Blank,0,135,DOPC,3,10,WT48
O17,Blank,0,135,DOPC,3,20,WT48
O18,B2AR,5,135,DOPC,3,10,WT48
O19,Cat,5,85,no_lipo,0,10,WT48
O2,Cat,5,85,DOPC,3,10,BL53
O20,SecYE-G,5,85,DOPC,3,20,WT48
O21,B2AR,5,135,DOPC,3,10,WT48
O22,Cat,5,85,no_lipo,0,20,WT48
O23,Cat,5,85,DOPC,3,10,WT48
O3,Blank,0,135,no_lipo,0,10,BL53
O4,Blank,0,135,DOPC,3,10,BL53
O5,Blank,0,135,DOPC,3,20,BL53
O6,B2AR,5,135,DOPC,3,10,BL53
O7,Cat,5,85,no_lipo,0,10,BL53
O8,SecYE-G,5,85,DOPC,3,20,BL53
O9,B2AR,5,135,DOPC,3,10,BL53
P1,Cat,5,135,no_lipo,0,20,BL53
P10,Blank,0,135,DOPC,3,20,BL53
P11,Cat,5,85,DOPC,3,20,BL53
P13,Cat,5,135,no_lipo,0,20,WT48
P14,Cat,5,135,DOPC,3,10,WT48
P15,B2AR,5,85,DOPC,3,10,WT48
P16,SecYE-G,5,135,DOPC,3,20,WT48
P17,AqpZ,5,85,DOPC,3,20,WT48
P18,Cat,5,135,DOPC,3,10,WT48
P19,Cat,5,85,DOPC,3,20,WT48
P2,Cat,5,135,DOPC,3,10,BL53
P20,Blank,0,85,no_lipo,0,10,WT48
P21,AqpZ,5,135,no_lipo,0,15,WT48
P22,Blank,0,135,DOPC,3,20,WT48
P23,Cat,5,85,DOPC,3,20,WT48
P3,B2AR,5,85,DOPC,3,10,BL53
P4,SecYE-G,5,135,DOPC,3,20,BL53
P5,AqpZ,5,85,DOPC,3,20,BL53
P6,Cat,5,135,DOPC,3,10,BL53
P7,Cat,5,85,DOPC,3,20,BL53
P8,Blank,0,85,no_lipo,0,10,BL53
P9,AqpZ,5,135,no_lipo,0,15,BL53
